iter	Passed	Remaining
0	13	1295
1	26	1312
2	40	1296
3	55	1339
4	70	1346
5	87	1369
6	112	1496
7	130	1504
8	148	1500
9	166	1502
10	187	1515
11	214	1573
12	233	1559
13	249	1530
14	270	1531
15	287	1507
16	303	1479
17	317	1446
18	335	1431
19	353	1414
20	371	1399
21	394	1399
22	418	1400
23	434	1376
24	454	1363
25	474	1350
26	497	1344
27	514	1322
28	527	1290
29	540	1261
30	555	1235
31	568	1208
32	582	1183
33	598	1161
34	610	1133
35	625	1111
36	639	1088
37	655	1068
38	668	1045
39	679	1019
40	696	1002
41	712	984
42	728	966
43	742	944
44	755	923
45	770	904
46	783	883
47	795	861
48	809	842
49	822	822
50	835	802
51	847	782
52	858	761
53	868	740
54	880	720
55	893	702
56	904	682
57	920	666
58	931	647
59	947	631
60	960	614
61	973	596
62	986	579
63	998	561
64	1011	544
65	1024	527
66	1036	510
67	1047	493
68	1059	476
69	1071	459
70	1085	443
71	1098	427
72	1110	410
73	1121	394
74	1137	379
75	1149	363
76	1162	347
77	1176	331
78	1190	316
79	1201	300
80	1217	285
81	1230	270
82	1241	254
83	1254	238
84	1264	223
85	1276	207
86	1285	192
87	1299	177
88	1312	162
89	1323	147
90	1334	131
91	1345	117
92	1358	102
93	1369	87
94	1380	72
95	1394	58
96	1408	43
97	1421	29
98	1431	14
99	1444	0
